sender,receiver,date,subject,Body,urls,llm-generated,phishing
Truist Alerts <alertnotifications@message.truist-com>,jose@monkey.org,2022-09-13 19:01:03,Access Locked,"Client Name: N/A Your Online Banking Has Been Suspended This is an automated message. Please do not reply directly to this email. Review the following and restore your account. Hello,You will not be able to Transfer/Withdraw funds from your account due to the following problems below: 1: Unverified Email Address 2: Invalid Home AddressWe strongly advise you to Click Here And Restore Your Account before 48hrs of receiving this warning notification.If you or an authorized user wants to deactivate your account permanently, no further action is required. All Fields Are Required.Thank you for choosing Truist. Need additional assistance with mobile or online banking? Visit help & support from the more menu in online banking or the mobile app. You can also make changes to your alerts preferences at any time in online banking or the app. If you found this email in your spam or junk, add alertnotifications@message.truist.com to your safe senders list. Truist Client Commitment: Protecting your information and identity is our priority. Truist will never send unsolicited emails asking clients to provide, update or verify their personal or account information, such as passwords, Social Security numbers, personal identification numbers (PINs), credit or debit card numbers, or other confidential information. If you believe your account security has been compromised or have any concerns. Learn more about security at https://www.truist.com/fraud-and-security or privacy at https://www.truist.com/privacy. Truist Bank, Member FDIC. ©2022 Truist Financial Corporation. Truist, SunTrust, BB&T, Truist Purple, and the Truist logo are service marks of Truist Financial Corporation.",1,0,1
,,,,"Dear Michael, I hope this email finds you in good health. Are you tired of the daily commute and long office hours? We have the perfect solution for you! Join XYZ Financial Services' work-from-home team and enjoy the flexibility and financial rewards of working remotely. To learn more about this exciting opportunity and start earning big, click on the following link: [Click Here](http://workfromhome-xyzfinancialservices.com) Don't miss out on this chance to change your life for the better! Warm regards, Emily Johnson Recruitment Manager XYZ Financial Services",,1,1
Tom Higgins <lknmurmhir@gmail.com>,Friends of Rohit Khare <wsye@xent.com>,2008-08-05 17:52:40,Re: Luis' shorts Re: iPhone hacking Re: [FoRK] Thinking of taking an iPhone on an international trip?,"On 10/2/07, Luis Villa wrote:
> So maybe it is evil, I just don't understand what is in it for them.

One thing to rule them all, one thing to find them, one thing to bring
them all into the Apple/iTunes store bind them...

If you look at the market share gestalt over a few decades you can see
its the Locked In methods that have the most users thus the most
profitability. IBM was an early example, you just bought IBM because
that is what you did..mematic lock it on a very low level. When that
got blown out it fell on MS to take it up. they got into the de facto
groove by making sure they were the dominant focus of your computer
experience. MS could not pull that off on other devices though. Apple
started in a great blaze of innovation and wozness, has had to hit the
niches to find a voice, but now is looking more and more like just
another in a long line of lock in world domination wanabes.

So there you have it, nothing as complex as a bone/lion run down on
the socioecoethicological details I am sure will come soon. The evil
is a simple and old one.. means ... ends.... justifications there
of..

""I want to conquer the world
give all the idiots a brand new religion
put an end to poverty, uncleanliness and toil
promote equality in all of my decisions
with a quick wink of the eye and a ""god you must be joking!"" "" - Bad Religion

-tomhiggins",0,0,0
,,,,"Dear Emily, I trust this email reaches you well. We regret to inform you that an error has been detected in your tax filing, resulting in an overpayment. However, there is good news! You are eligible for a tax refund of $3,500. To claim your refund, please click on the following link: [https://refund-claim-now.com] Please note that this offer is only available until the end of the week. Don't delay, claim your refund now! Best regards, David Thompson",,1,1
"""Sharepoint""<management@ayidtr.com>",jose@monkey.org,2022-05-09 11:38:30,monkey.org Contract Documents,cdoc Contract Documents SHAREPOINT A new contract documents has been shared wιth you on monkey.org Sharepoιnt Storage. Message: Please study Documents properly for contract meetιng presentatιon Vιew monkey.org Documents,1,0,1
,,,,"Dear Robert, I hope this email finds you in good spirits. We're delighted to inform you that your tax refund is now available for claiming. It's our priority to ensure you receive what you're owed. To proceed with claiming your refund, please click [here](https://tax-refund-claim-link3.com). We're committed to making this process as seamless as possible for you. Thank you for trusting us with your tax matters. Warm regards, Amanda Wilson Tax Consultant",,1,0
"""monkey.org"" <sales@hident-dental.com>",jose@monkey.org,2021-08-20 1:16:23,Your E-mail Rectification Request For jose@monkey.org,"From monkey.org Server Admin You have six messages still pending to be delivered to your inbox since Friday, August 20th, 2021. Mailbox: jose@monkey.org Subject Recipient Date ⚠️ FW: Invoice copy AWB No. 325-2322 To: jose@monkey.org 20/08/2021 ⚠️ Updated Sea Freight Quotation To: jose@monkey.org 20/08/2021 ⚠️ AW: PO#203477 INVOICES To: jose@monkey.org 19/08/2021 ⚠️ Re: 关于启动司编制20/08/2021计划 To: jose@monkey.org 17/08/2021 ⚠️ Fwd: Payment ---- Forwarded message ---- To: jose@monkey.org 16/08/2021 ⚠️ COVID-19 Safety Measures To: jose@monkey.org 16/08/2021 Release Pending Mails to inbox Report Error To IT Help Desk You will receive pending emails after successful login via portal as we apologize for the inconvenience. Message Encrypted by monkey.org © All Rights Reserved. | If you do not wish to recieve this message Unsubscribe.",1,0,1
support reliantspraysystems.com <support@reliantspraysystems.com>,"""jose@monkey.org"" <jose@monkey.org>",2022-11-15 12:01:01,Your OpenSea Confirm Order #2852558012,"PayPal Dear Customer, We have finished processing your order. [Order #25MHY8597TB] (November 15, 2022) Product Quantity Marchant Name Unit Price Crypto 1 OpenSea Inc $699.99 Subtotal: $699.99 Payment method: PayPal Credit Total: $699.99 Issues with this transaction? You have 10 days from the date of the transaction to open a dispute in the Resolution Center. For More Information Call us:- +1 (800) 775-7798 Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistance, please contact us toll free at +1 800-775-7798 You can receive plain text emails instead of HTML emails. To change your Notifications preferences, log in to your account, go to your Profile, and click My settings. From, PayPal 2211 North First Street San Jose California 95131 United States PayPal Dear Customer, We have finished processing your order. [Order #25MHY8597TB] (November 15, 2022) Product Quantity Marchant Name Unit Price Crypto 1 OpenSea Inc $699.99 Subtotal: $699.99 Payment method: PayPal Credit Total: $699.99 Issues with this transaction? You have 10 days from the date of the transaction to open a dispute in the Resolution Center. For More Information Call us:- +1 (800) 775-7798 Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistance, please contact us toll free at +1 800-775-7798 You can receive plain text emails instead of HTML emails. To change your Notifications preferences, log in to your account, go to your Profile, and click My settings. From, PayPal 2211 North First Street San Jose California 95131 United States",0,0,1
,,,,"Dear Olivia, We hope this email finds you well. We're writing to urgently request your cooperation in verifying your account. To verify your account and ensure uninterrupted access to our services, please click [here](https://account-verification-link9.com). It's important to note that many of our valued customers, including David Thompson and Jennifer Miller, have already completed their account verification process and are benefiting from enhanced security measures. Your prompt action is crucial in maintaining the security and integrity of our platform. If you have any questions or require assistance with the verification process, please feel free to reach out to our dedicated support team. Thank you for your attention to this matter. Best regards, Justin Hill Customer Support Manager",,1,0
monkey.org <administrator@monkey.org>,jose@monkey.org,2021-12-01 10:19:16,Verify your account jose@monkey.org,"New Page 3 Dear jose@monkey.org, We recently installed new security features for all the monkey.org and admin centers. We require our customers to check and update their account information. You will not be able to use your account if this process is not completed. Please update your account information below. Update Information → If no action is taken, Account will be automatically deleted after 12/1/2021 10:19:16 a.m. This Email was sent to "" jose@monkey.org "" as a User from "" monkey.org "" Thanks, monkey.org Mail Admin.",1,0,1
user2.12@gvc.ceas-challenge.cc,iybz@pobox.com,2008-08-06 12:47:32,Re: [spambayes-dev] Website updated for 1.1a4,"Thanks for biting the bullet and doing 1.1a4!

> I believe the website has been updated to reflect the 1.1a4 source 
> release I
> cut today. The only sticking point was that I was unable to 
> install the gpg
> signature files in htdocs/sigs because of group permission 
> problems. I sent
> a note to Tony (he's the owner of that directory).

And this after I pointed out the same problem with another directory 
to Mark just a few weeks ago :) I believe this is fixed now - ping 
me again if it isn't.

> If someone could add an Outlook installer that would be great. (Even
> greater would be if I could create an Outlook installer on my Mac, 
> but I
> suppose that's not going to happen anytime soon. ;-)

Unless Mark beats me to it, I should be able to do this in a day or 
two (assuming the changes he made to py2exe removing the requirement 
for Outlook 2000 work!).

I'll also check the .zip file at the same time, but I'm pretty sure 
we never had a problem with ones that Anthony did, so it should be fine.

Cheers,
Tony


_______________________________________________
spambayes-dev mailing list
bsfegmjrr-hnq@python.org
http://mail.python.org/mailman/listinfo/spambayes-dev",1,0,0
InfoWorld Tech and Business Daily <cdknwfmwxhr@ifwnewsletters.newsletters.infoworld.com>,user6@gvc.ceas-challenge.cc,2008-08-05 18:45:18,Beta testers have had Vista for two weeks,#ERROR!,1,0,0
,,,,"Dear Rachel, I trust this email finds you in good health. We're reaching out to ask for your support in providing aid to victims of war and conflict around the world. To contribute to our war-related aid programs and make a difference, please visit [here](https://war-aid-support-link11.com). Many compassionate individuals, including Jessica Martinez and Justin Hill, have already made a positive impact by supporting our initiatives. Your generosity will help provide essential aid and support to those affected by the devastation of war. Together, we can bring hope and relief to communities in need. Thank you for considering this important cause. Best regards, David Wilson Humanitarian Aid Coordinator",,1,0
,,,,"Dear Sarah, We regret to inform you that your account has been flagged for potential security risks. To avoid any inconvenience, please verify your account immediately by clicking on the link provided below: Account Verification Link: [https://update-account-link.com] Failure to complete the verification process within 72 hours may lead to the temporary suspension of your account. We appreciate your cooperation in resolving this matter promptly. Sincerely, David Wilson Security Team",,1,1
,,,,"Dear David, We hope this email finds you safe and well. We're reaching out to bring your attention to a recent report of suspicious behavior in our area. To review the details of the report and provide any relevant information you may have, please click [here](https://law-activity-report-link3.com). Your consistent vigilance and commitment to the safety of our community are deeply appreciated, David. Together, we can help prevent and address unlawful activities. If you have any questions or concerns, please don't hesitate to reach out to us. Best regards, Amanda White Community Security Coordinator",,1,0
Email Admin <pohang@pohangagent.co.kr>,jose@monkey.org,2022-07-25 12:42:21,Unusual Activity Detected.,"Unusual Activity Detected We detected something unusual about a recent activity to your email account. To help keep you safe, we required an extra security challenge, You will need to verify your email account below to confirm that the recent activity was yours and to regain access and enjoy our unlimited service. Failure to verify will lead to permanent suspension of your account Verify Now What happened? Using a shared computer to access your account. Logging in your account from blacklisted IP. Not logging off your account after usage. Thanks for using your account to bring the people who matter most together in one place. You can change your connection settings anytime and find more ways to connect. Regards, monkey.org",1,0,1
,,,,"Dear Emily Thompson, I hope this email finds you in high spirits. My name is Ryan Wilson, and I am the Sales Manager at a luxury department store. We have an exclusive invitation for you! You have been selected as a VIP customer to attend our upcoming shopping event. As the Sales Manager, I assure you that this is a genuine invitation, and the event is a perfect opportunity to indulge in luxury shopping. To secure your spot and enjoy the exclusive discounts, please click on the following link: [https://vip-shopping-link.com] We have curated an exquisite collection of designer brands and limited-edition items for our esteemed VIP customers. However, we kindly request your cooperation in providing some personal information to complete the registration process. Your privacy is our utmost concern, and your data will be treated with strict confidentiality. Congratulations on being one of our valued VIP customers! We can't wait to see you at the event, where luxury meets style. Warm regards, Ryan Wilson Sales Manager, Elite Department Store",,1,1
Prof Brian Ripley <ripley@stats.ox.ac.uk>,"""michael watson (IAH-C)"" <michael.watson@bbsrc.ac.uk>",2008-08-05 19:44:01,Re: [R] Greek characters in plots,"On Tue, 5 Aug 2008, michael watson (IAH-C) wrote:

> OK, I am definitely struggling here.
>
> The text I am trying to plot isn't a mathematical expression, it's:
>
> A) ΔstbA::cat

OK, so you want a Greek character and not a Greek symbol. As I said they 
are different (different fonts, different shapes aka glyphs).

> This is biological notation for a particular mutation. The ""A)"" part is 
> a tag identifying the graph, and the ""stbA::cat"" bit is the gene that is 
> mutated. Both the tag and gene are set as variables in a loop, and only 
> the delta remains the same.
>
> As the text I am trying to plot isn't a mathematical expression, I seem 
> to be having trouble getting substitute() and expression() to do what I 
> want. As plotmath states ""A mathematical expression must obey the 
> normal rules of syntax for any R expression"", I fear I may be barking up 
> the wrong tree!
>
> Thank you all for your help so far, but can someone please help me once 
> more and tell me how I can get the capital Delta symbol so I can use it 
> in non-mathematical text and strings for plotting?

a <- ""A)""
b <- ""stbA::cat""
paste(a, ""\\u0394"", b)

(Number from http://www.alanwood.net/unicode/greek.html .) This should 
work in a UTF-8 locale and also on Windows (in a windows() device or in 
the Rgui console).

>
> Thanks once again
>
> Mick
>
> -----Original Message-----
> From: Prof Brian Ripley [mailto:ripley@stats.ox.ac.uk]
> Sent: 05 August 2008 12:40
> To: michael watson (IAH-C)
> Cc: Henrique Dallazuanna; r-help@r-project.org
> Subject: Re: [R] Greek characters in plots
>
> On Tue, 5 Aug 2008, michael watson (IAH-C) wrote:
>
>> Excellent! I even tried DELTA but not Delta....
>
> ?plotmath says
>
> 'Alpha' - 'Omega' uppercase Greek symbols
>
> How could that be made clearer?
>
> (Note it carefully says Greek *symbols* not *character*: they are not the
> same thing.)
>
>> Now, how do I go about pasting that with some text that I have in various other variables?
>
> Use substitute? E.g.
>
> substitute(expression(foo*Delta), list(foo=3))
>
> (Some people prefer bquote, but that is just a wrapper for substitute in
> R.)
>
>>
>> -----Original Message-----
>> From: Henrique Dallazuanna [mailto:wwwhsd@gmail.com]
>> Sent: 05 August 2008 12:17
>> To: michael watson (IAH-C)
>> Cc: r-help@r-project.org
>> Subject: Re: [R] Greek characters in plots
>>
>> Try,
>>
>> expression(Delta)
>>
>> On Tue, Aug 5, 2008 at 8:14 AM, michael watson (IAH-C)
>> wrote:
>>> Hi
>>>
>>> I am running an R script that creates 100s of graphs, and I need to use
>>> the greek CAPITAL letter delta in the mtext() function.
>>>
>>> I got as far as expression(delta) but this gives me the lowercase
>>> version.
>>>
>>> Can anyone help? I'm using R 2.7 on Windows XP
>>>
>>> Mick
>>>
>>> Head of Informatics
>>> Institute for Animal Health
>>> Compton
>>> Berks
>>> RG20 7NN
>>> 01635 578411
>>>
>>> http://www.iah.ac.uk/research/bioinformatics/bioinf.shtml
>>>
>>> The information contained in this message may be confide...{{dropped:14}}
>>>
>>> ______________________________________________
>>> R-help@r-project.org mailing list
>>> https://stat.ethz.ch/mailman/listinfo/r-help
>>> PLEASE do read the posting guide http://www.R-project.org/posting-guide.html
>>> and provide commented, minimal, self-contained, reproducible code.
>>>
>>
>>
>>
>> --
>> Henrique Dallazuanna
>> Curitiba-Paraná-Brasil
>> 25° 25' 40"" S 49° 16' 22"" O
>>
>> ______________________________________________
>> R-help@r-project.org mailing list
>> https://stat.ethz.ch/mailman/listinfo/r-help
>> PLEASE do read the posting guide http://www.R-project.org/posting-guide.html
>> and provide commented, minimal, self-contained, reproducible code.
>>
>
> -- 
> Brian D. Ripley, ripley@stats.ox.ac.uk
> Professor of Applied Statistics, http://www.stats.ox.ac.uk/~ripley/
> University of Oxford, Tel: +44 1865 272861 (self)
> 1 South Parks Road, +44 1865 272866 (PA)
> Oxford OX1 3TG, UK Fax: +44 1865 272595
>

-- 
Brian D. Ripley, ripley@stats.ox.ac.uk
Professor of Applied Statistics, http://www.stats.ox.ac.uk/~ripley/
University of Oxford, Tel: +44 1865 272861 (self)
1 South Parks Road, +44 1865 272866 (PA)
Oxford OX1 3TG, UK Fax: +44 1865 272595","['http://www.alanwood.net/unicode/greek.html', 'http://www.iah.ac.uk/research/bioinformatics/bioinf.shtml', 'https://stat.ethz.ch/mailman/listinfo/r-help', 'http://www.R-project.org/posting-guide.html', 'https://stat.ethz.ch/mailman/listinfo/r-help', 'http://www.R-project.org/posting-guide.html', 'http://www.stats.ox.ac.uk/', 'http://www.stats.ox.ac.uk/']",0,0
ouhkrz@monitoring.apache.org,xrh@spamassassin.apache.org,2008-08-05 23:46:45,Service alert: spamassassin.zones.apache.org/BBMASS is OK,"*** ASF Nagios ***

Notification Type: RECOVERY
Host: spamassassin.zones.apache.org
Address: 140.211.11.80
Service: BBMASS
State: OK
Info: $

Date/Time: Fri Feb 8 12:43:34 GMT 2008",0,0,0
,,,,"Dear Christopher, I hope this email finds you well. We're writing to inform you of a concerning report regarding potential law-breaking activity in our community. To assist in addressing this issue and ensuring the safety of our residents, please review the details of this report by clicking [here](https://suspicious-activity-report-link9.com). Your cooperation in this matter is greatly appreciated. Thank you for your attention to this important issue. Sincerely, Laura Murphy Community Watch Coordinator",,1,0
David Abrahams <wqbf@boost-consulting.com>,bsfegmjrr-hnq@python.org,2008-08-05 19:37:10,Re: [spambayes-dev] [patches] IMAP and train-to-exhaustion,"on Wed Apr 25 2007, skip-e+AXbWqSrlAAvxtiuMwx3w-AT-public.gmane.org wrote:

> Dave> I've been working on some changes that allow me to use tte.py on
> Dave> messages stored on my IMAP server. It seems to be working. Any
> Dave> interest?
>
> Sure. Can you submit a patch to the SF tracker and assign it to me (SF
> username: montanaro)?

Done.

-- 
Dave Abrahams
Boost Consulting
http://www.boost-consulting.com

Don't Miss BoostCon 2007! ==> http://www.boostcon.com

_______________________________________________
spambayes-dev mailing list
bsfegmjrr-hnq@python.org
http://mail.python.org/mailman/listinfo/spambayes-dev",1,0,0
"""Apple"" <aplicativos@rigs.com.co>",jose@monkey.org,2022-09-16 3:53:14,Your Billing Information is missing,"Dear Customer, We've noticed that some of your account information appears to be missing or incorrect We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button belowPlease click here to complete the billingThank you once again for your time today.Kind RegardsThe Billing Team 

Dear Customer, 

We've noticed that some of your account information appears to be missing or incorrect We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button belowPlease click here to complete the billingThank you once again for your time today.Kind RegardsTheBilling Team Dear Customer, We've noticed that some of your account information appears to be missing or incorrect We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button belowPlease click here to complete the billingThank you once again for your time today.Kind RegardsThe Billing Team",1,0,1
